ngrama,coeficiente,pct_missing_train,pct_missing_test
servici vist exterior,0.05907287,99.67394,99.815285
excelent conjunt,0.059028916,99.78781,99.688896
servici bao,0.058865465,99.422935,99.465294
ubic via principal,0.058827803,99.30649,99.231964
clinic centr,0.05863514,99.767105,99.66946
estudi pati,0.058626786,99.774864,99.72778
sector residencial cerc,0.058325652,99.68688,99.66946
alcob principal walking,0.05816326,99.461754,99.87361
terraz pis mader,0.05815805,96.32803,96.48066
residencial comercial,0.05775236,99.67653,99.74723
ampli cocin abiert,0.057745297,99.54198,99.552795
tech mader,0.057554767,99.67394,99.98056
pis espaci,0.05755232,99.8111,99.98056
integral ampli,0.05741556,99.49539,99.572235
exit carull,0.05726397,99.22109,98.8917
bbq parqueader,0.05711504,99.80592,99.85417
ampli estudi,0.05652209,99.71277,99.83473
terraz ban,0.056497212,99.69206,99.54307
acces transport public,0.056427967,99.391884,99.63056
estudi chimene,0.05633485,99.75158,99.825005
zon ampli,0.05606351,99.78781,99.86389
comod espaci,0.055939406,99.29873,99.03753
inform comunicar,0.055656254,99.54198,99.66946
lavanderi independient cuart,0.055639174,92.337975,94.45851
chimene terraz,0.055078425,93.09355,95.62514
hall alcob,0.055025212,99.824036,99.825005
hall alcob sal,0.054970145,89.67535,83.69628
zon humed,0.05481666,99.46952,99.2028
ban auxili habit,0.054799326,99.13829,98.47365
terraz ubic,0.05468298,85.87371,83.12272
centr comercial clinic,0.05457979,99.448814,99.54307
salon negoci,0.05444969,97.07068,96.266785
chimene zon,0.054433797,99.761925,99.67918
sant bibian,0.05440235,99.684296,99.62084
comod via acces,0.054055262,99.75934,99.84445
ampli acogedor,0.05405108,99.36342,99.309746
lind estren,0.053974558,99.836975,99.04725
jueg nio,0.053929277,99.38671,99.99028
servici balcon,0.053895105,99.58855,99.49446
balcon ampli,0.05386911,98.284355,98.25977
sant brbar,0.053775262,99.46434,99.591675
bbq cocin,0.053767398,98.61299,98.998634
zon bbq zon,0.053563748,99.40482,99.591675
hall entrad,0.053481027,99.5368,99.572235
independient cocin integral,0.05341946,98.71391,97.80284
jardin infantil,0.053317178,99.831795,99.66946
estudi pis mader,0.05296671,99.19005,98.979195
comedor sal,0.052950203,99.5782,99.79584
teatrin gimnasi,0.052695803,99.68171,99.53334
nivel ampli,0.052646965,99.697235,99.84445
vist occident,0.052573636,99.51609,99.64029
hall habit,0.05253502,99.6636,99.75695
san jos,0.05250827,99.792984,99.70834
terraz pati,0.05246518,99.096886,99.38751
plant suplenci,0.05233869,99.56785,99.5139
esquiner excelent,0.052203014,95.42238,91.69741
deposit edifici gimnasi,0.05214879,99.82662,99.78612
salon social parqueader,0.051508076,99.7464,98.998634
ampli espaci,0.05137932,99.59373,99.2514
total remodel,0.051355436,94.5426,92.825195
espaci abiert,0.05132071,99.441055,99.076416
balcon alcob ban,0.051282912,99.38154,99.105576
sal ampli chimene,0.051069114,99.8111,99.73751
nivel encontr,0.05104276,99.05031,98.54171
call 122,0.05099924,99.09947,98.93059
estudi cocin,0.05087568,99.710175,99.92222
pis interior ilumin,0.050853517,98.10321,97.70562
espectacul ubic,0.050836753,99.82662,99.86389
nivel zon,0.050779272,99.67912,100.0
ban alcob ban,0.050746996,99.52386,99.97083
call 106,0.05052216,99.697235,99.99028
parqueader lineal,0.05021784,99.50316,100.0
ideal famili,0.05016391,99.78522,99.98056
sal television,0.050069336,99.52904,99.97083
parqu transport public,0.05002041,99.69982,99.97083
ilumin terraz,0.049993936,99.64807,100.0
social saln,0.04988008,99.59114,99.16391
terraz garaj,0.049509726,99.824036,100.0
natural vist exterior,0.04943567,99.723114,99.97083
estudi cuart,0.049431182,99.41258,100.0
elctric parqueader visit,0.049429975,99.7904,99.94167
autop nort carrer,0.049169958,99.74899,99.95139
baos social,0.04903694,99.67653,100.0
parqueader independient,0.04881374,99.81627,100.0
ampli lumin,0.04840841,99.67394,99.9125
ampli excelent,0.04825145,98.949394,99.88334
hall acces,0.048173092,99.54715,99.95139
chimene ban,0.04784089,99.767105,99.95139
ciud ubic,0.047828134,99.60667,100.0
balcon sal comedor,0.04779098,99.59114,99.931946
ban vesti ban,0.04777275,99.73088,99.84445
excelent exterior,0.047680818,99.80334,99.83473
plant elctric,0.04757321,98.33869,98.61948
walkin closet,0.047267977,99.754166,99.85417
sal estudi,0.04717531,99.824036,99.9125
alcob bao servici,0.047087424,99.065834,99.40697
natural pis mader,0.047066472,99.15899,98.93059
estudi ampli,0.047060806,99.77228,99.815285
habit bao,0.047032606,99.71794,99.455574
pis ascensor vist,0.046981767,99.831795,99.95139
isla zon,0.04690915,98.636284,99.241684
lind vist,0.046902098,99.49798,99.62084
ban estudi,0.046400618,99.81368,99.88334
integral abiert tip,0.04635871,99.767105,99.95139
perfect famili,0.046159673,98.80448,99.36807
cocin terraz,0.04610926,97.07327,99.98056
terraz alcob ban,0.045951653,99.80851,100.0
oficin administr,0.04592999,99.76969,99.76667
social terraz,0.045901507,99.82921,99.9125
pis const sal,0.04588946,99.82921,99.9125
terraz bbq salon,0.045775484,99.723114,100.0
edifici segur,0.045678906,99.88097,99.99028
pis independient,0.045643277,99.6429,100.0
chimene ampli,0.045626283,99.16675,100.0
business cent,0.045458797,99.67653,99.99028
gas alcob,0.045434576,99.80334,100.0
comercial sant barb,0.04537573,99.49798,100.0
ampli terraz,0.045333922,99.81886,99.50418
terraz vist,0.04482917,99.614426,99.92222
ban garaj independient,0.044777174,99.81627,98.7167
ambient tranquil,0.044747937,99.78522,99.85417
comedor cocin integral,0.044716552,99.51868,99.2903
bao vesti,0.044565525,99.371185,99.572235
cerr television,0.04448837,99.50833,99.6014
deposit edifici vigil,0.044458903,99.68947,99.815285
vesti ampli,0.044307854,99.74899,99.89306
canch squash,0.04410097,98.93645,97.08342
cuadr parqu,0.044053018,99.82662,99.88334
excelent remodel,0.04391843,99.435875,99.825005
estudi habit,0.043637894,99.72053,100.0
cerc clinic,0.04360948,98.11097,99.97083
terraz estudi,0.043188296,99.614426,100.0
pati zon,0.043179583,97.74351,99.98056
priv habit,0.043165654,99.82662,100.0
servici zon,0.043074965,98.79154,99.98056
habit baa,0.043042917,99.68688,100.0
compart ban,0.04301715,99.7904,100.0
independient estudi,0.04301192,99.14088,100.0
recre frail,0.042974655,99.20039,99.98056
exterior garaj,0.042871155,99.448814,100.0
hor cerc centr,0.04271416,99.80592,100.0
comedor chimene balcn,0.042661883,99.36342,99.01808
ban cuart,0.042539988,99.38671,98.8917
comedor acces,0.04234025,99.767105,99.61112
centr comercial cerc,0.042302746,99.08653,99.98056
salon comunal gimnasi,0.04211558,99.78781,100.0
bao social,0.042101335,99.82921,99.99028
lamin garaj cubiert,0.042059597,99.62478,99.455574
segur tranquil,0.04184564,99.45141,100.0
ciud jardin,0.041836426,99.58855,99.70834
principal walk,0.041756265,99.79557,99.99028
terraz priv,0.04172245,99.68688,99.99028
parqu novi,0.041506078,99.66618,99.9125
pis altill,0.04132903,96.39531,97.67645
sal comedor bao,0.041280054,98.726845,99.86389
squash parqu,0.041273847,99.697235,99.99028
balcn chimene,0.041221138,99.79816,99.931946
espaci independient,0.04118166,99.79816,100.0
independient estudi cocin,0.04112815,99.86543,100.0
verd excelent,0.041122835,96.2711,99.00836
sal comedor pati,0.041060653,99.62737,99.89306
independient depsit,0.040894844,99.82145,100.0
comercial restaur,0.040578913,99.83439,99.98056
ascensor gimnasi,0.04053975,99.5782,100.0
vist parqu,0.040515255,99.78522,99.83473
alcob ban servici,0.040192027,99.60667,99.78612
club lagart,0.040109217,98.14202,98.57087
ampli balcon,0.03990426,99.76969,100.0
remodel ano,0.03976371,99.575615,99.581955
espectacul exterior,0.03943733,99.56785,99.815285
transport public zon,0.039432246,99.3893,98.65837
chimene balcon,0.039387207,99.824036,99.94167
salitr occidental,0.03921183,99.8525,99.99028
ampli walking,0.039169632,99.25732,99.99028
pis mader,0.039158665,99.653244,100.0
social sal,0.03895484,99.61702,99.97083
ban priv pis,0.03867742,99.49539,100.0
infantil terraz,0.038674302,99.76452,100.0
mts2 habit ban,0.03860786,99.83439,100.0
habit closet ban,0.03851871,99.614426,100.0
parqu infantil parqueader,0.038468506,99.51868,99.98056
abiert cuart,0.03834833,99.710175,99.98056
rea constru,0.03831908,99.53939,99.99028
pis sal,0.0382614,99.80851,100.0
espaci luz,0.038198408,99.81368,100.0
ban social ban,0.038051162,99.64807,100.0
independient deposit,0.037796073,99.60149,100.0
comedor estudi independient,0.03766234,99.78781,100.0
excelent are,0.03754075,99.80075,100.0
alto calid,0.03750749,98.59487,100.0
zon rop cuart,0.037458047,99.46952,100.0
line cubiert,0.03738841,99.73605,100.0
ciud const,0.036851157,99.8111,99.71806
parqueader visit terraz,0.036766894,99.73347,99.9125
ilumin natural espaci,0.036725007,81.68838,90.09325
balcon garaj,0.03663025,99.81886,99.97083
exterior terraz,0.03660218,99.72053,99.95139
aven esper,0.036482584,99.430695,99.85417
restaur centr,0.036478236,99.824036,100.0
garaj independient,0.03627944,99.73347,99.98056
segur conjunt,0.03623558,99.73347,99.94167
famili amig,0.036154766,99.67394,99.98056
puert blind,0.03609338,99.684296,99.99028
segur sal,0.036043603,99.3686,99.90278
chimene parqueader,0.036040436,97.96605,99.97083
aeropuert dor,0.035925273,99.83956,100.0
mader maciz,0.03566267,99.35566,99.92222
comunal cerc,0.035616677,99.715355,99.83473
vist cerr,0.035527136,99.81886,99.90278
usaqun espectacul,0.03544096,99.76452,99.90278
ntild social,0.035414156,99.792984,99.97083
edifici lind,0.035337806,99.76969,99.98056
principal walking,0.035077542,99.73347,100.0
nivel pis,0.034808703,99.14088,99.79584
social balcon,0.034388456,99.78522,99.76667
cocin estudi,0.034325447,99.583374,100.0
call 134 call,0.034281015,98.51207,99.1153
present espectacul,0.034152057,99.76452,99.77639
excelent ubic via,0.034128055,92.74681,96.33483
excelent sector,0.033912826,93.05473,96.898705
facil via acces,0.03380496,99.441055,99.63056
ilumin are,0.03373907,99.76969,99.78612
condicion segur,0.033611465,99.66618,99.71806
balcon zon,0.033610083,98.405975,99.70834
jacuzzi saun,0.033543102,99.69206,99.94167
independient cuart bao,0.03342004,99.59114,99.72778
pis tech,0.033310633,96.79379,94.429344
gran hills,0.033296514,99.72053,99.53334
vist verd,0.033135917,99.73088,99.85417
cocin semiabiert,0.03301164,99.1771,99.348625
principal ban social,0.03294239,99.52644,99.73751
integral independient,0.03287168,98.38268,99.98056
acces carrer,0.032709543,99.12535,98.58059
mader ban,0.03268095,98.253296,98.61948
116 carrer,0.032678768,98.5043,97.65701
alcob alcob ban,0.032516394,99.30649,99.688896
comercial hayue,0.03250149,99.32978,99.85417
salon social canch,0.03247185,99.80592,99.95139
dot salon,0.03243463,99.74123,99.825005
sant isabel,0.032434184,99.702415,99.83473
porter recepcin saln,0.03242503,99.53939,99.49446
alcob ban priv,0.032327905,99.81368,99.75695
social hall,0.03229462,99.5782,99.28058
excelent acab,0.03226231,99.27026,98.376434
compart alcob,0.032245077,99.62219,99.12502
deposit zon,0.032223035,99.78522,99.35835
vesti sal,0.032100886,99.8111,99.65973
pis zon,0.03209429,99.74381,99.78612
edifici piscin,0.0319759,99.645485,99.71806
cedrit usaqun cod,0.03191919,98.81483,98.16255
alcob zon,0.03191238,99.645485,99.72778
location cundinamarc,0.031843543,99.85509,99.96111
chimene comedor,0.03179808,99.47211,99.62084
puert electr,0.031784635,99.75158,99.84445
cerr espaci,0.031750716,96.56091,96.13068
comercial palatin,0.031744756,97.6607,99.241684
encontr sal,0.03162394,99.70759,90.48213
excelent nivel,0.03154958,99.86803,94.77933
terraz pis,0.031454995,99.73864,99.65001
baos estudi,0.031318888,98.16013,98.51254
edifici terraz comunal,0.031312518,99.48763,99.67918
comedor cocin tip,0.031250864,99.40224,99.212524
comedor cocin abiert,0.03118216,96.36167,95.45987
saun salon,0.031118345,99.54456,99.348625
aven principal,0.031074904,98.444786,98.57087
depsit edifici,0.03100101,96.78862,95.07099
pis entrad,0.030788273,98.732025,98.77503
servici are,0.030610254,99.79557,99.72778
ubic privilegi,0.030609941,99.80592,99.85417
pati garaj,0.030584235,98.76825,98.15283
terraz are,0.030532662,99.60149,99.42641
saun turc salon,0.03044207,99.59114,99.70834
salitr plaz,0.030419497,97.42003,95.86818
chimene estudi cocin,0.03033675,99.6429,99.47501
gimnasi piscin,0.030226082,99.59373,99.338905
closet lin,0.030194515,99.640305,99.688896
tech alto,0.030186629,99.70759,99.63056
cient veintisiet,0.03014706,99.24956,99.43613
vend hermos ubic,0.030057915,99.11759,98.90142
independient estuf calent,0.029973786,99.5575,99.465294
